cpt, raw_angle, angle
80209, 4.670205, 322.6195
80210, 4.663685, 322.6258
80211, 4.657549, 322.6321
80212, 4.650646, 322.6384
80213, 4.644894, 322.6447
80214, 4.637224, 322.6509
80215, 4.632238, 322.6572
80216, 4.625719, 322.6635
80217, 4.618433, 322.6698
80218, 4.61268, 322.6761
80219, 4.604243, 322.6824
80220, 4.599258, 322.6887
80221, 4.592355, 322.6949
80222, 4.586986, 322.7012
80223, 4.580083, 322.7075
80224, 4.572797, 322.7138
80225, 4.567811, 322.7201
80226, 4.559758, 322.7263
80227, 4.554389, 322.7326
80228, 4.548253, 322.7389
80229, 4.542117, 322.7452
80230, 4.535981, 322.7515
80231, 4.529078, 322.7578
80232, 4.522943, 322.764
80233, 4.516039, 322.7703
80234, 4.510287, 322.7766
80235, 4.504151, 322.7829
80236, 4.498015, 322.7892
80237, 4.490345, 322.7955
80238, 4.483442, 322.8018
80239, 4.47654, 322.808
80240, 4.470787, 322.8143
80241, 4.465418, 322.8206
80242, 4.456981, 322.8269
80243, 4.450462, 322.8332
80244, 4.444709, 322.8394
80245, 4.43819, 322.8457
80246, 4.432437, 322.852
80247, 4.424001, 322.8583
80248, 4.417865, 322.8646
80249, 4.411729, 322.8709
80250, 4.404442, 322.8771
80251, 4.399457, 322.8834
80252, 4.394088, 322.8897
80253, 4.387185, 322.896
80254, 4.381049, 322.9023
80255, 4.373763, 322.9086
80256, 4.367627, 322.9149
80257, 4.362258, 322.9211
80258, 4.355355, 322.9274
80259, 4.350753, 322.9337
80260, 4.34385, 322.94
80261, 4.337331, 322.9463
80262, 4.331195, 322.9525
80263, 4.324676, 322.9588
80264, 4.31854, 322.9651
80265, 4.312787, 322.9714
80266, 4.305884, 322.9777
80267, 4.299365, 322.9839
80268, 4.293996, 322.9903
80269, 4.288627, 322.9965
80270, 4.283258, 323.0028
80271, 4.276739, 323.0091
80272, 4.270603, 323.0154
80273, 4.264083, 323.0217
80274, 4.259098, 323.028
80275, 4.253729, 323.0342
80276, 4.24836, 323.0405
80277, 4.241457, 323.0468
80278, 4.236472, 323.0531
80279, 4.23187, 323.0594
80280, 4.224583, 323.0656
80281, 4.218831, 323.0719
80282, 4.213462, 323.0782
80283, 4.207326, 323.0845
80284, 4.200807, 323.0908
80285, 4.195821, 323.097
80286, 4.189685, 323.1033
80287, 4.183933, 323.1096
80288, 4.177413, 323.1159
80289, 4.172811, 323.1222
80290, 4.166675, 323.1285
80291, 4.16054, 323.1348
80292, 4.15517, 323.1411
80293, 4.149035, 323.1473
80294, 4.144433, 323.1536
80295, 4.137146, 323.1599
80296, 4.132161, 323.1662
80297, 4.126792, 323.1725
80298, 4.121039, 323.1787
80299, 4.116054, 323.185
80300, 4.110301, 323.1913
80301, 4.104166, 323.1976
80302, 4.099564, 323.2039
80303, 4.094195, 323.2101
80304, 4.087675, 323.2164
80305, 4.081923, 323.2227
80306, 4.077321, 323.229
80307, 4.070802, 323.2353
80308, 4.064666, 323.2416
80309, 4.058913, 323.2479
80310, 4.053544, 323.2542
80311, 4.048175, 323.2604
80312, 4.042806, 323.2667
80313, 4.037054, 323.273
80314, 4.030535, 323.2793
80315, 4.024782, 323.2856
80316, 4.019413, 323.2918
80317, 4.013277, 323.2981
80318, 4.007525, 323.3044
80319, 4.001389, 323.3107
80320, 3.996403, 323.317
80321, 3.991418, 323.3232
80322, 3.985282, 323.3295
80323, 3.979913, 323.3358
80324, 3.973394, 323.3421
80325, 3.967641, 323.3484
80326, 3.963039, 323.3547
80327, 3.957287, 323.361
80328, 3.951151, 323.3672
80329, 3.946166, 323.3735
80330, 3.939646, 323.3798
80331, 3.935044, 323.3861
80332, 3.927758, 323.3924
80333, 3.921622, 323.3987
80334, 3.915486, 323.4049
80335, 3.912035, 323.4112
80336, 3.904365, 323.4175
80337, 3.898612, 323.4238
80338, 3.892476, 323.4301
80339, 3.88634, 323.4363
80340, 3.880971, 323.4426
80341, 3.875219, 323.4489
80342, 3.868316, 323.4552
80343, 3.863714, 323.4615
80344, 3.857578, 323.4678
80345, 3.852976, 323.4741
80346, 3.846073, 323.4803
80347, 3.839937, 323.4866
80348, 3.833802, 323.4929
80349, 3.828433, 323.4992
80350, 3.823831, 323.5055
80351, 3.817311, 323.5117
80352, 3.811175, 323.518
80353, 3.805039, 323.5243
80354, 3.79967, 323.5306
80355, 3.793535, 323.5369
80356, 3.786632, 323.5432
80357, 3.780879, 323.5494
80358, 3.774743, 323.5557
80359, 3.768991, 323.562
80360, 3.763238, 323.5683
80361, 3.756335, 323.5746
80362, 3.749433, 323.5809
80363, 3.744831, 323.5872
80364, 3.737544, 323.5934
80365, 3.731408, 323.5997
80366, 3.726039, 323.606
80367, 3.72067, 323.6123
80368, 3.714535, 323.6186
80369, 3.708399, 323.6248
80370, 3.701496, 323.6311
80371, 3.694976, 323.6374
80372, 3.690758, 323.6437
80373, 3.685389, 323.65
80374, 3.678102, 323.6562
80375, 3.671583, 323.6625
80376, 3.665447, 323.6688
80377, 3.659695, 323.6751
80378, 3.654326, 323.6814
80379, 3.648957, 323.6877
80380, 3.64052, 323.694
80381, 3.634768, 323.7003
80382, 3.629015, 323.7065
80383, 3.623263, 323.7128
80384, 3.61636, 323.7191
80385, 3.60984, 323.7254
80386, 3.603321, 323.7317
80387, 3.597952, 323.7379
80388, 3.590282, 323.7442
80389, 3.58453, 323.7505
80390, 3.57801, 323.7568
80391, 3.572258, 323.7631
80392, 3.566122, 323.7693
80393, 3.559986, 323.7756
80394, 3.55385, 323.7819
80395, 3.547331, 323.7882
80396, 3.542345, 323.7945
80397, 3.533908, 323.8008
80398, 3.528156, 323.8071
80399, 3.522403, 323.8134
80400, 3.515501, 323.8196
80401, 3.510132, 323.8259
80402, 3.502078, 323.8322
80403, 3.495559, 323.8385
80404, 3.488272, 323.8448
80405, 3.482903, 323.851
80406, 3.476384, 323.8573
80407, 3.470248, 323.8636
80408, 3.461811, 323.8699
80409, 3.456442, 323.8762
80410, 3.449156, 323.8824
80411, 3.443787, 323.8888
80412, 3.436884, 323.895
80413, 3.428064, 323.9013
80414, 3.421928, 323.9076
80415, 3.415025, 323.9139
80416, 3.410423, 323.9202
80417, 3.403136, 323.9265
80418, 3.395467, 323.9327
80419, 3.389714, 323.939
80420, 3.383578, 323.9453
80421, 3.376292, 323.9516
80422, 3.369772, 323.9579
80423, 3.363253, 323.9641
80424, 3.355583, 323.9704
80425, 3.349064, 323.9767
80426, 3.341394, 323.983
80427, 3.334491, 323.9893
80428, 3.326437, 323.9955
80429, 3.319151, 324.0018
80430, 3.313399, 324.0081
80431, 3.305345, 324.0144
80432, 3.298059, 324.0207
80433, 3.291539, 324.027
80434, 3.283869, 324.0333
80435, 3.276583, 324.0396
80436, 3.270064, 324.0458
80437, 3.261627, 324.0521
80438, 3.254724, 324.0584
80439, 3.248971, 324.0647
80440, 3.240534, 324.071
80441, 3.233632, 324.0772
80442, 3.225578, 324.0835
80443, 3.218292, 324.0898
80444, 3.212156, 324.0961
80445, 3.204102, 324.1024
80446, 3.197583, 324.1086
80447, 3.190297, 324.1149
80448, 3.185311, 324.1212
80449, 3.175724, 324.1275
80450, 3.169971, 324.1338
80451, 3.161151, 324.1401
80452, 3.154248, 324.1464
80453, 3.147345, 324.1526
80454, 3.140059, 324.1589
80455, 3.132389, 324.1652
80456, 3.125102, 324.1715
80457, 3.117432, 324.1778
80458, 3.111296, 324.1841
